gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0.36621094,-2.6245117,-2.380371,-0.075417355,-0.055066638,-9.811439
0.36621094,-2.6855469,-2.380371,-0.07062895,-0.05746084,-9.828198
0.4272461,-2.6245117,-2.380371,-0.061052144,-0.062249243,-9.848549
0.36621094,-2.6245117,-2.380371,-0.06584055,-0.06344634,-9.835381
0.36621094,-2.6855469,-2.4414062,-0.073023155,-0.05746084,-9.818622
0.30517578,-2.6855469,-2.380371,-0.062249243,-0.06344634,-9.841366
0.30517578,-2.6245117,-2.319336,-0.07062895,-0.05865794,-9.834184
0.36621094,-2.5634766,-2.4414062,-0.08140286,-0.05746084,-9.816227
0.36621094,-2.5634766,-2.4414062,-0.06823475,-0.06823475,-9.824607
0.30517578,-2.6855469,-2.319336,-0.074220255,-0.06344634,-9.8198185
0.30517578,-2.6855469,-2.319336,-0.06703765,-0.06344634,-9.840169
0.36621094,-2.6855469,-2.380371,-0.062249243,-0.062249243,-9.824607
0.30517578,-2.6855469,-2.2583008,-0.07182605,-0.05865794,-9.7958765
0.30517578,-2.6855469,-2.380371,-0.07062895,-0.062249243,-9.831789
0.4272461,-2.6245117,-2.380371,-0.076614454,-0.05746084,-9.827001
0.36621094,-2.6245117,-2.4414062,-0.075417355,-0.05267244,-9.794679
0.30517578,-2.6245117,-2.380371,-0.07182605,-0.06584055,-9.816227
0.36621094,-2.6855469,-2.380371,-0.08140286,-0.055066638,-9.813833
0.4272461,-2.6245117,-2.380371,-0.07182605,-0.061052144,-9.821015
0.36621094,-2.6245117,-2.319336,-0.075417355,-0.059855044,-9.830592
0.36621094,-2.6855469,-2.380371,-0.06703765,-0.05267244,-9.813833
0.36621094,-2.5634766,-2.4414062,-0.06584055,-0.05746084,-9.818622
0.36621094,-2.5634766,-2.319336,-0.062249243,-0.055066638,-9.812635
0.30517578,-2.6855469,-2.380371,-0.076614454,-0.059855044,-9.817424
0.36621094,-2.6855469,-2.380371,-0.06943185,-0.05865794,-9.834184
0.30517578,-2.6245117,-2.380371,-0.08020575,-0.051475335,-9.816227
0.4272461,-2.6245117,-2.380371,-0.076614454,-0.06464344,-9.842564
0.4272461,-2.5634766,-2.319336,-0.059855044,-0.05626374,-9.836577
0.48828125,-2.6245117,-2.319336,-0.062249243,-0.05865794,-9.841366
0.4272461,-2.746582,-2.319336,-0.055066638,-0.053869538,-9.827001
0.36621094,-2.6855469,-2.380371,-0.06464344,-0.061052144,-9.8437605
0.36621094,-2.5634766,-2.380371,-0.07182605,-0.05865794,-9.812635
0.30517578,-2.6855469,-2.380371,-0.08020575,-0.05746084,-9.829395
0.30517578,-2.6855469,-2.380371,-0.06464344,-0.059855044,-9.846154
0.30517578,-2.6855469,-2.319336,-0.06584055,-0.061052144,-9.841366
0.30517578,-2.746582,-2.2583008,-0.06344634,-0.059855044,-9.842564
0.30517578,-2.6855469,-2.319336,-0.06344634,-0.05865794,-9.831789
0.4272461,-2.6245117,-2.319336,-0.051475335,-0.06344634,-9.830592
0.36621094,-2.6855469,-2.380371,-0.074220255,-0.055066638,-9.825804
0.4272461,-2.6245117,-2.319336,-0.062249243,-0.06344634,-9.835381
0.36621094,-2.6245117,-2.380371,-0.05746084,-0.05626374,-9.8437605
0.36621094,-2.6245117,-2.380371,-0.06584055,-0.06344634,-9.838972
0.36621094,-2.6855469,-2.319336,-0.061052144,-0.05267244,-9.828198
0.30517578,-2.6245117,-2.380371,-0.07182605,-0.053869538,-9.812635
0.30517578,-2.746582,-2.4414062,-0.05746084,-0.055066638,-9.837775
0.30517578,-2.6245117,-2.319336,-0.061052144,-0.061052144,-9.842564
0.24414062,-2.746582,-2.319336,-0.076614454,-0.061052144,-9.817424
0.24414062,-2.6245117,-2.4414062,-0.06464344,-0.061052144,-9.8437605
0.36621094,-2.6245117,-2.319336,-0.06703765,-0.06703765,-9.848549
0.36621094,-2.6855469,-2.380371,-0.06943185,-0.061052144,-9.835381
0.36621094,-2.6245117,-2.319336,-0.073023155,-0.05626374,-9.827001
0.24414062,-2.6855469,-2.380371,-0.08140286,-0.05626374,-9.817424
0.30517578,-2.6855469,-2.4414062,-0.06703765,-0.05746084,-9.849746
0.36621094,-2.6855469,-2.4414062,-0.06584055,-0.049081136,-9.827001
0.30517578,-2.6855469,-2.4414062,-0.05626374,-0.053869538,-9.836577
0.36621094,-2.6855469,-2.380371,-0.073023155,-0.053869538,-9.809045
0.30517578,-2.6855469,-2.380371,-0.05865794,-0.05865794,-9.846154
0.24414062,-2.6855469,-2.380371,-0.062249243,-0.06464344,-9.847352
0.30517578,-2.6245117,-2.4414062,-0.06823475,-0.059855044,-9.835381
0.30517578,-2.6855469,-2.380371,-0.07062895,-0.07062895,-9.841366
0.36621094,-2.6855469,-2.319336,-0.07182605,-0.05865794,-9.827001
0.36621094,-2.5634766,-2.319336,-0.059855044,-0.059855044,-9.840169
0.30517578,-2.746582,-2.380371,-0.06584055,-0.050278235,-9.816227
0.36621094,-2.6245117,-2.380371,-0.07062895,-0.051475335,-9.805453
0.36621094,-2.6855469,-2.4414062,-0.06584055,-0.05865794,-9.837775
0.36621094,-2.6855469,-2.380371,-0.061052144,-0.06703765,-9.844957
0.36621094,-2.6245117,-2.380371,-0.06344634,-0.07182605,-9.840169
0.4272461,-2.6245117,-2.319336,-0.061052144,-0.06464344,-9.825804
0.24414062,-2.6245117,-2.380371,-0.06943185,-0.055066638,-9.822212
0.30517578,-2.6855469,-2.380371,-0.06703765,-0.062249243,-9.837775
0.36621094,-2.6855469,-2.4414062,-0.07062895,-0.06703765,-9.844957
0.4272461,-2.6855469,-2.4414062,-0.06464344,-0.05746084,-9.832987
0.36621094,-2.6855469,-2.4414062,-0.06823475,-0.059855044,-9.832987
0.30517578,-2.6855469,-2.4414062,-0.07062895,-0.05267244,-9.821015
0.30517578,-2.6855469,-2.319336,-0.062249243,-0.06344634,-9.834184
0.30517578,-2.5634766,-2.4414062,-0.079008654,-0.06344634,-9.805453
0.30517578,-2.6245117,-2.380371,-0.06464344,-0.06584055,-9.835381
0.36621094,-2.6855469,-2.319336,-0.059855044,-0.059855044,-9.838972
0.30517578,-2.6245117,-2.380371,-0.06464344,-0.06584055,-9.8198185
0.4272461,-2.6855469,-2.380371,-0.075417355,-0.055066638,-9.813833
0.36621094,-2.6855469,-2.319336,-0.06344634,-0.05746084,-9.827001
0.4272461,-2.746582,-2.380371,-0.06464344,-0.053869538,-9.828198
0.30517578,-2.6245117,-2.380371,-0.06703765,-0.05746084,-9.812635
0.4272461,-2.5634766,-2.319336,-0.059855044,-0.06344634,-9.828198
0.36621094,-2.746582,-2.4414062,-0.076614454,-0.059855044,-9.813833
0.30517578,-2.5634766,-2.4414062,-0.07182605,-0.06703765,-9.841366
0.36621094,-2.6855469,-2.319336,-0.06823475,-0.059855044,-9.813833
0.4272461,-2.6245117,-2.4414062,-0.07062895,-0.06464344,-9.816227
0.36621094,-2.6855469,-2.4414062,-0.06703765,-0.059855044,-9.830592
0.30517578,-2.746582,-2.380371,-0.06344634,-0.06823475,-9.82341
0.30517578,-2.6855469,-2.319336,-0.06344634,-0.050278235,-9.818622
0.4272461,-2.6855469,-2.319336,-0.06703765,-0.061052144,-9.825804
0.4272461,-2.6855469,-2.319336,-0.07062895,-0.05267244,-9.7958765
0.4272461,-2.6855469,-2.2583008,-0.05865794,-0.05746084,-9.830592
0.24414062,-2.6855469,-2.319336,-0.08499416,-0.059855044,-9.794679
0.30517578,-2.6245117,-2.380371,-0.06464344,-0.06584055,-9.82341
0.36621094,-2.6855469,-2.380371,-0.06344634,-0.06584055,-9.834184
0.36621094,-2.6245117,-2.4414062,-0.06464344,-0.06823475,-9.821015
0.36621094,-2.5634766,-2.380371,-0.06823475,-0.06584055,-9.829395
0.36621094,-2.6855469,-2.380371,-0.06703765,-0.061052144,-9.825804
0.36621094,-2.6855469,-2.380371,-0.06344634,-0.05626374,-9.818622
0.4272461,-2.6245117,-2.319336,-0.074220255,-0.05267244,-9.800665
0.4272461,-2.746582,-2.4414062,-0.06823475,-0.05865794,-9.825804
0.36621094,-2.6855469,-2.4414062,-0.06703765,-0.062249243,-9.829395
0.24414062,-2.746582,-2.380371,-0.073023155,-0.062249243,-9.810242
0.36621094,-2.746582,-2.4414062,-0.06464344,-0.06584055,-9.846154
0.4272461,-2.6855469,-2.380371,-0.06943185,-0.06703765,-9.836577
0.36621094,-2.6855469,-2.380371,-0.07062895,-0.062249243,-9.816227
0.30517578,-2.6245117,-2.380371,-0.06943185,-0.059855044,-9.837775
0.30517578,-2.6245117,-2.319336,-0.07182605,-0.059855044,-9.846154
0.36621094,-2.746582,-2.4414062,-0.06344634,-0.05267244,-9.830592
0.24414062,-2.6855469,-2.319336,-0.06464344,-0.051475335,-9.810242
0.24414062,-2.6245117,-2.319336,-0.06464344,-0.049081136,-9.807847
0.4272461,-2.6855469,-2.380371,-0.061052144,-0.05626374,-9.832987
